gene,scores,logfoldchanges,pvals,pvals_adj,pct_neg,pct_pos
ENPP6,-0.15367073,-0.6639756,0.8778693679702737,1.0,0.0017387880975033628,0.0031681375876895226
ZBTB3,-0.15367152,0.26314127,0.8778687380620832,1.0,0.005806896099209344,0.007241457343290337
SENP8,-0.1537546,-0.95095456,0.8778032280325591,1.0,0.0017387880975033628,0.0031681375876895226
RBP1,-0.15396631,-1.4899068,0.877636307221874,1.0,0.00492109838916046,0.006336275175379045
LGALSL,-0.15413485,-0.8606947,0.8775034043533433,1.0,0.0015091368393425413,0.0029418420457116997
RNF207,-0.15413645,-2.461283,0.877502144627027,1.0,0.0035431908401955315,0.004978501923512107
RAB17,-0.15415163,0.4282514,0.8774901772424961,1.0,0.0015091368393425413,0.0029418420457116997
TNFSF8,-0.15423791,-0.7491391,0.8774221526413846,1.0,0.01666611987795676,0.018103643358225844
MAGI1,-0.15451431,-0.60464096,0.8772042280726396,1.0,0.0012794855811817198,0.0027155465037338763
ADAMTS2,-0.15454626,-2.177936,0.877179035080735,1.0,0.0012794855811817198,0.0027155465037338763
SOX18,-0.15458462,-1.2997627,0.8771488036546755,1.0,0.0012794855811817198,0.0027155465037338763
P2RY14,-0.15461737,0.027042434,0.8771229811201509,1.0,0.005577244841048522,0.007015161801312514
ALDH3A1,-0.15485142,-1.0493109,0.8769384482790605,1.0,0.0010498343230208984,0.0024892509617560534
RUNDC3A,-0.15486261,-1.3442079,0.8769296311775475,1.0,0.0010498343230208984,0.0024892509617560534
FXYD3,-0.15491693,-0.44064018,0.8768868054731533,1.0,0.010104655359076146,0.011541072640868975
KRT16,-0.15492491,0.1478873,0.8768805076058418,1.0,0.0010498343230208984,0.0024892509617560534
NRBP2,-0.1550048,1.1102414,0.8768175293614799,1.0,0.007151996325579869,0.008599230595157275
PLXNB2,-0.15506393,0.1805874,0.8767709259626827,1.0,0.0053475935828877,0.006788866259334691
EPS8,-0.15514301,0.7120811,0.8767085788404809,1.0,0.012565204553656376,0.014030323602625029
CTHRC1,-0.15524127,-0.7886113,0.876631118330079,1.0,0.0030838883238738886,0.004525910839556461
TTC26,-0.15526444,-3.3776927,0.8766128554550136,1.0,0.0030838883238738886,0.004525910839556461
CITED1,-0.15526682,-1.5894661,0.8766109661958249,1.0,0.0008201830648600768,0.0022629554197782305
ACSS2,-0.15532994,-0.3811228,0.8765612159568913,1.0,0.0028542370657130673,0.004299615297578638
CEND1,-0.15558477,-1.6831278,0.8763603307141201,1.0,0.0005905318066992553,0.002036659877800407
SYT7,-0.15560474,-1.7168633,0.8763445876929208,1.0,0.0005905318066992553,0.002036659877800407
CREG2,-0.1556255,-1.6132339,0.8763282150027712,1.0,0.0005905318066992553,0.002036659877800407
PROM2,-0.15565348,-2.7691252,0.8763061749265277,1.0,0.0005905318066992553,0.002036659877800407
SPATA24,-0.15574294,-0.1744766,0.8762356473272062,1.0,0.006692693809258227,0.008146639511201629
C11orf95,-0.15596662,-0.8727236,0.8760593326296829,1.0,0.0026245858075522456,0.004073319755600814
TMEM45A,-0.15616554,-1.1670083,0.875902543654764,1.0,0.0026245858075522456,0.004073319755600814
HLA-DQB2,-0.15633889,0.60682726,0.8757659082384621,1.0,0.004428988550244414,0.005883684091423399
CTSG,-0.15650025,-0.48069546,0.8756387209943828,1.0,0.0021652832912306026,0.0036207286716451684
UBXN10,-0.15652741,-3.5456843,0.8756173135561521,1.0,0.0021652832912306026,0.0036207286716451684
CALD1,-0.15670235,-0.011378581,0.875479426650492,1.0,0.011220104327285851,0.01267255035075809
ZNF80,-0.15678704,0.10369098,0.875412688227019,1.0,0.008267445293789574,0.00973070830504639
C5,-0.15696917,-0.5390649,0.8752691406589563,1.0,0.0019356320330697811,0.0033944331296673455
CDC42EP2,-0.15708181,-0.99381393,0.8751803698742768,1.0,0.0019356320330697811,0.0033944331296673455
LAMA5,-0.15710178,-0.12458396,0.8751646305373448,1.0,0.00374003477576195,0.00520479746548993
ARAP3,-0.15711616,-0.09667597,0.8751532982453311,1.0,0.00577408877661494,0.007241457343290337
TRIM16L,-0.15736061,-0.14135212,0.8749606532000834,1.0,0.00374003477576195,0.00520479746548993
PCGF2,-0.15757869,0.27267563,0.8747887898551637,1.0,0.0014763295167481382,0.0029418420457116997
